farmid,planted_qty,withered_crops,harvested_qty,crop_yield,net_yield,type,tags
1,7,12,15,2.1,3,1,"needs improvement, bad net yield, naturalpestmanagement, pestcontrol"
2,20,6,17,0.8,11,1,"terrible crop yield, good net yield, croprotation, companionplanting, precisionfarming"
3,29,18,16,0.6,-2,1,"terrible crop yield, bad net yield, greenhousegrowing, sustainableagriculture"
4,15,1,9,0.6,8,1,"terrible crop yield, bad net yield, pollinatorfriendly, soilmanagement, irrigation"
5,11,9,15,1.4,6,1,"terrible crop yield, bad net yield, naturalpestmanagement, croprotation, companionplanting"
6,8,12,24,3.0,12,1,"needs improvement, good net yield, naturalpestmanagement, pestcontrol, croprotation"
7,29,5,29,1.0,24,1,"terrible crop yield, excellent net yield, companionplanting, croprotation"
8,21,11,23,1.1,12,0,"commendable crop yield, bad net yield, naturalpestmanagement, pestcontrol"
9,7,11,24,3.4,13,0,"commendable crop yield, excellent net yield, pestcontrol, croprotation, naturalpestmanagement"
10,26,19,22,0.8,3,1,"terrible crop yield, bad net yield, sustainableagriculture, greenhousegrowing"
11,19,10,3,0.2,-7,0,"needs crop improvement, bad net yield, sustainableagriculture, covercrops"
12,23,6,12,0.5,6,0,"needs crop improvement, bad net yield, precisionfarming, greenhousegrowing"
13,11,0,8,0.7,8,0,"needs crop improvement, bad net yield"
14,11,0,22,2.0,22,0,"commendable crop yield, excellent net yield, foodsecurity, farmersmarket, localfood"
15,24,19,22,0.9,3,1,"terrible crop yield, bad net yield, greenhousegrowing, sustainableagriculture"
16,21,12,3,0.1,-9,0,"needs crop improvement, bad net yield, pestcontrol, naturalpestmanagement, croprotation"
17,4,8,27,6.8,19,1,"average crop yield, excellent net yield, sustainableagriculture, croprotation, greenhousegrowing"
18,8,2,3,0.4,1,0,"needs crop improvement, bad net yield, irrigation, pollinatorfriendly"
19,24,6,5,0.2,-1,0,"needs crop improvement, bad net yield, companionplanting, greenhousegrowing"
20,3,5,15,5.0,10,0,"commendable crop yield, excellent net yield, sustainableagriculture, croprotation, covercrops"
21,22,7,29,1.3,22,1,"terrible crop yield, excellent net yield, naturalpestmanagement, greenhousegrowing"
22,21,8,3,0.1,-5,0,"needs crop improvement, bad net yield, precisionfarming, sustainableagriculture"
23,2,4,10,5.0,6,1,"average crop yield, bad net yield, fertilization, pollinatorfriendly, vermiculture"
24,24,0,5,0.2,5,0,"needs crop improvement, bad net yield"
25,12,18,16,1.3,-2,1,"terrible crop yield, bad net yield, sustainableagriculture, greenhousegrowing"
26,6,9,23,3.8,14,0,"commendable crop yield, excellent net yield, croprotation, naturalpestmanagement, greenhousegrowing"
27,2,11,2,1.0,-9,1,"terrible crop yield, bad net yield, naturalpestmanagement, pestcontrol, croprotation"
28,28,14,26,0.9,12,1,"terrible crop yield, good net yield, regenerativeagriculture, companionplanting"
29,21,8,27,1.3,19,0,"commendable crop yield, bad net yield, precisionfarming, pestcontrol"
30,1,19,10,10.0,-9,1,"good crop yield, bad net yield, sustainableagriculture, greenhousegrowing"
31,12,16,15,1.2,-1,0,"commendable crop yield, bad net yield, companionplanting, regenerativeagriculture"
32,26,16,15,0.6,-1,0,"needs crop improvement, bad net yield, companionplanting, regenerativeagriculture"
33,22,19,26,1.2,7,0,"commendable crop yield, bad net yield, sustainableagriculture, greenhousegrowing"
34,29,11,10,0.3,-1,0,"needs crop improvement, bad net yield, naturalpestmanagement, croprotation, pestcontrol"
35,12,6,28,2.3,22,0,"commendable crop yield, excellent net yield, greenhousegrowing, covercrops, naturalpestmanagement"
36,25,1,13,0.5,12,0,"needs crop improvement, bad net yield, vermiculture, fertilization"
37,17,2,19,1.1,17,0,"commendable crop yield, good net yield, irrigation, vermiculture"
38,27,16,7,0.3,-9,0,"needs crop improvement, bad net yield, regenerativeagriculture, companionplanting"
39,27,4,17,0.6,13,0,"needs crop improvement, bad net yield, vermiculture, irrigation, soilmanagement"
40,10,16,20,2.0,4,0,"commendable crop yield, bad net yield, companionplanting, regenerativeagriculture"
41,28,16,29,1.0,13,0,"average crop yield, bad net yield, regenerativeagriculture, companionplanting"
42,28,16,2,0.1,-14,1,"terrible crop yield, bad net yield, regenerativeagriculture, companionplanting"
43,16,1,28,1.8,27,1,"terrible crop yield, excellent net yield, fertilization, vermiculture, irrigation"
44,15,1,23,1.5,22,0,"commendable crop yield, excellent net yield, fertilization, organicfarming, pollinatorfriendly"
45,15,4,7,0.5,3,0,"needs crop improvement, bad net yield, pollinatorfriendly, fertilization, vermiculture"
46,19,0,13,0.7,13,0,"needs crop improvement, bad net yield"
47,12,0,15,1.2,15,0,"commendable crop yield, excellent net yield, farmersmarket, farmtofork"
48,23,18,11,0.5,-7,0,"needs crop improvement, bad net yield, sustainableagriculture, greenhousegrowing"
49,20,1,29,1.4,28,0,"commendable crop yield, excellent net yield, fertilization, soilmanagement"
50,25,11,4,0.2,-7,0,"needs crop improvement, bad net yield, naturalpestmanagement, croprotation, pestcontrol"
