farmid,planted_qty,withered_crops,harvested_qty,crop_yield,net_yield,type,tags
1,7,10,16,2.3,6,1,"needs improvement,  bad net yield,  greenhousegrowing,  naturalpestmanagement"
2,20,15,26,1.3,11,1,"terrible crop yield,  good net yield,  companionplanting,  regenerativeagriculture"
3,29,16,28,1,12,0,"average crop yield,  bad net yield,  regenerativeagriculture,  companionplanting"
4,15,4,2,0.1,-2,0,"needs crop improvement,  bad net yield,  irrigation,  fertilization,  soilmanagement"
5,11,11,28,2.5,17,0,"commendable crop yield,  excellent net yield,  pestcontrol,  naturalpestmanagement"
6,8,10,5,0.6,-5,0,"needs crop improvement,  bad net yield,  croprotation,  naturalpestmanagement,  greenhousegrowing"
7,29,14,12,0.4,-2,0,"needs crop improvement,  bad net yield,  regenerativeagriculture,  companionplanting"
8,21,2,27,1.3,25,0,"commendable crop yield,  excellent net yield,  fertilization,  organicfarming"
9,7,0,21,3,21,0,"commendable crop yield,  excellent net yield,  farmersmarket,  localfood,  farmtofork"
10,26,19,8,0.3,-11,0,"needs crop improvement,  bad net yield,  greenhousegrowing,  sustainableagriculture"
11,19,15,6,0.3,-9,0,"needs crop improvement,  bad net yield,  companionplanting,  regenerativeagriculture"
12,23,1,15,0.7,14,1,"terrible crop yield,  good net yield,  pollinatorfriendly,  vermiculture"
13,11,1,25,2.3,24,1,"needs improvement,  excellent net yield,  pollinatorfriendly,  vermiculture"
14,11,2,19,1.7,17,1,"terrible crop yield,  excellent net yield,  organicfarming,  pollinatorfriendly,  soilmanagement"
15,24,7,5,0.2,-2,1,"terrible crop yield,  bad net yield,  pestcontrol,  sustainableagriculture"
16,21,14,12,0.6,-2,0,"needs crop improvement,  bad net yield,  regenerativeagriculture,  companionplanting"
17,4,6,29,7.3,23,0,"commendable crop yield,  excellent net yield,  precisionfarming,  covercrops,  naturalpestmanagement"
18,8,5,26,3.3,21,1,"needs improvement,  excellent net yield,  companionplanting,  greenhousegrowing"
19,24,8,3,0.1,-5,0,"needs crop improvement,  bad net yield,  pestcontrol,  naturalpestmanagement"
20,3,19,2,0.7,-17,1,"terrible crop yield,  bad net yield,  greenhousegrowing,  sustainableagriculture"
21,22,0,6,0.3,6,0,"needs crop improvement, bad net yield, naturalpestmanagement, precisionfarming, sustainableagriculture"
22,21,7,15,0.7,8,1,"terrible crop yield,  bad net yield,  naturalpestmanagement,  covercrops"
23,2,2,23,11.5,21,0,"commendable crop yield,  excellent net yield,  vermiculture,  organicfarming"
24,24,3,12,0.5,9,0,"needs crop improvement,  bad net yield,  fertilization,  soilmanagement,  organicfarming"
25,12,14,16,1.3,2,1,"terrible crop yield,  bad net yield,  regenerativeagriculture,  companionplanting"
26,6,5,6,1,1,0,"average crop yield,  bad net yield,  naturalpestmanagement,  sustainableagriculture"
27,2,14,26,13,12,1,"good crop yield,  good net yield,  companionplanting,  regenerativeagriculture"
