farmid,planted_qty,withered_crops,harvested_qty,crop_yield,net_yield,type
1,7,12,15,2.1,3,1
2,20,6,17,0.8,11,1
3,29,18,16,0.6,-2,1
4,15,1,9,0.6,8,1
5,11,9,15,1.4,6,1
6,8,12,24,3.0,12,1
7,29,5,29,1.0,24,1
8,21,11,23,1.1,12,0
9,7,11,24,3.4,13,0
10,26,19,22,0.8,3,1
11,19,10,3,0.2,-7,0
12,23,6,12,0.5,6,0
13,11,0,8,0.7,8,0
14,11,0,22,2.0,22,0
15,24,19,22,0.9,3,1
16,21,12,3,0.1,-9,0
17,4,0,27,6.4,27,1
18,8,2,3,0.4,1,0
19,24,6,5,0.2,-1,0
20,3,5,15,5.0,10,0
21,22,7,29,1.3,22,1
22,21,8,3,0.1,-5,0
23,2,4,10,5.0,6,1
24,24,0,5,0.2,5,0
25,12,18,16,1.3,-2,1
26,6,9,23,3.8,14,0
27,2,11,2,1.0,-9,1
28,28,14,26,0.9,12,1
29,21,8,27,1.3,19,0
30,1,0,10,6.6,10,1
31,12,16,15,1.2,-1,0
32,26,16,15,0.6,-1,0
33,22,19,26,1.2,7,0
34,29,11,10,0.3,-1,0
35,12,6,28,2.3,22,0
36,25,1,13,0.5,12,0
37,17,2,19,1.1,17,0
38,27,16,7,0.3,-9,0
39,27,4,17,0.6,13,0
40,10,16,20,2.0,4,0
41,28,16,29,1.0,13,0
42,28,16,2,0.1,-14,1
43,16,1,28,1.8,27,1
44,15,1,23,1.5,22,0
45,15,4,7,0.5,3,0
46,19,0,13,0.7,13,0
47,12,0,15,1.2,15,0
48,23,18,11,0.5,-7,0
49,20,1,29,1.4,28,0
50,25,11,4,0.2,-7,0
