farmid,planted_qty,withered_crops,harvested_qty,crop_yield,net_yield,type,tags
1,7,10,16,2.3,6,1,
2,20,15,26,1.3,11,1,
3,29,16,28,1.0,12,0,
4,15,4,2,0.1,-2,0,
5,11,11,28,2.5,17,0,
6,8,10,5,0.6,-5,0,
7,29,14,12,0.4,-2,0,
8,21,2,27,1.3,25,0,
9,7,0,21,3.0,21,0,
10,26,19,8,0.3,-11,0,
11,19,15,6,0.3,-9,0,
12,23,1,15,0.7,14,1,
13,11,1,25,2.3,24,1,
14,11,2,19,1.7,17,1,
15,24,7,5,0.2,-2,1,
16,21,14,12,0.6,-2,0,
17,4,6,29,7.3,23,0,
18,8,5,26,3.3,21,1,
19,24,8,3,0.1,-5,0,
20,3,19,2,0.7,-17,1,
21,22,0,6,0.3,6,0,
22,21,7,15,0.7,8,1,
23,2,2,23,11.5,21,0,
24,24,3,12,0.5,9,0,
25,12,14,16,1.3,2,1,
26,6,5,6,1.0,1,0,
27,2,14,26,13.0,12,1,
28,28,2,25,0.9,23,1,
29,21,13,5,0.2,-8,1,
30,1,19,13,13.0,-6,1,
31,12,13,20,1.7,7,0,
32,26,3,8,0.3,5,0,
33,22,11,22,1.0,11,0,
34,29,16,30,1.0,14,1,
35,12,6,26,2.2,20,0,
36,25,8,12,0.5,4,1,
37,17,2,5,0.3,3,0,
38,27,12,13,0.5,1,0,
39,27,14,29,1.1,15,0,
40,10,17,25,2.5,8,1,
41,28,18,25,0.9,7,0,
42,28,0,23,0.8,23,0,
43,16,5,12,0.8,7,1,
44,15,1,10,0.7,9,0,
45,15,13,3,0.2,-10,1,
46,19,5,23,1.2,18,0,
47,12,13,8,0.7,-5,1,
48,23,3,21,0.9,18,1,
49,20,7,17,0.9,10,0,
50,25,2,28,1.1,26,1,
51,3,18,9,3.0,-9,1,
52,5,13,21,4.2,8,1,
53,19,19,30,1.6,11,1,
54,7,16,23,3.3,7,1,
55,21,7,22,1.0,15,1,
56,9,13,13,1.4,0,0,
57,7,5,14,2.0,9,1,
58,18,15,15,0.8,0,1,
59,4,18,19,4.8,1,0,
60,25,13,8,0.3,-5,0,
61,28,18,22,0.8,4,0,
62,14,2,5,0.4,3,0,
63,18,9,20,1.1,11,0,
64,26,18,8,0.3,-10,0,
65,9,8,24,2.7,16,0,
66,26,19,27,1.0,8,1,
67,21,12,4,0.2,-8,1,
68,2,6,25,12.5,19,0,
69,20,13,7,0.4,-6,1,
70,28,8,6,0.2,-2,1,
71,15,18,6,0.4,-12,1,
72,28,14,22,0.8,8,0,
73,7,19,18,2.6,-1,0,
74,12,13,24,2.0,11,1,
75,29,5,7,0.2,2,0,
76,8,3,10,1.3,7,1,
77,15,7,4,0.3,-3,1,
78,3,16,21,7.0,5,1,
79,14,8,27,1.9,19,1,
80,17,0,6,0.4,6,0,
81,4,19,20,5.0,1,0,
82,18,13,2,0.1,-11,0,
83,8,10,11,1.4,1,1,
