farmid,planted_qty,withered_crops,harvested_qty,crop_yield,net_yield,type,tags,desc
1,7,12,15,2.1,3,1,"naturalpestmanagement, pestcontrol","needs improvement, bad net yield"
2,20,6,17,0.8,11,1,"companionplanting, croprotation, precisionfarming","terrible crop yield, good net yield"
3,29,18,16,0.6,-2,1,"greenhousegrowing, sustainableagriculture","terrible crop yield, bad net yield"
4,15,1,9,0.6,8,1,"irrigation, pollinatorfriendly, soilmanagement","terrible crop yield, bad net yield"
5,11,9,15,1.4,6,1,"companionplanting, croprotation, naturalpestmanagement","terrible crop yield, bad net yield"
6,8,12,24,3.0,12,1,"croprotation, naturalpestmanagement, pestcontrol","needs improvement, good net yield"
7,29,5,29,1.0,24,1,"companionplanting, croprotation","terrible crop yield, excellent net yield"
8,21,11,23,1.1,12,0,"naturalpestmanagement, pestcontrol","commendable crop yield, bad net yield"
9,7,11,24,3.4,13,0,"croprotation, naturalpestmanagement, pestcontrol","commendable crop yield, excellent net yield"
10,26,19,22,0.8,3,1,"greenhousegrowing, sustainableagriculture","terrible crop yield, bad net yield"
11,19,10,3,0.2,-7,0,"covercrops, sustainableagriculture","needs crop improvement, bad net yield"
12,23,6,12,0.5,6,0,"greenhousegrowing, precisionfarming","needs crop improvement, bad net yield"
13,11,0,8,0.7,8,0,"raisedbeds, waterconservation","needs crop improvement, bad net yield"
14,11,0,22,2.0,22,0,"farmersmarket, foodsecurity, localfood","commendable crop yield, excellent net yield"
15,24,19,22,0.9,3,1,"greenhousegrowing, sustainableagriculture","terrible crop yield, bad net yield"
16,21,12,3,0.1,-9,0,"croprotation, naturalpestmanagement, pestcontrol","needs crop improvement, bad net yield"
17,4,0,27,6.4,27,1,"farmtofork, foodsecurity","average crop yield, excellent net yield"
18,8,2,3,0.4,1,0,"irrigation, pollinatorfriendly","needs crop improvement, bad net yield"
19,24,6,5,0.2,-1,0,"companionplanting, greenhousegrowing","needs crop improvement, bad net yield"
20,3,5,15,5.0,10,0,"covercrops, croprotation, sustainableagriculture","commendable crop yield, excellent net yield"
21,22,7,29,1.3,22,1,"greenhousegrowing, naturalpestmanagement","terrible crop yield, excellent net yield"
22,21,8,3,0.1,-5,0,sustainableagriculture,"needs crop improvement, bad net yield"
23,2,4,10,5.0,6,1,"fertilization, pollinatorfriendly, vermiculture","average crop yield, bad net yield"
24,24,0,5,0.2,5,0,"covercrops, croprotation, precisionfarming","needs crop improvement, bad net yield"
25,12,18,16,1.3,-2,1,"greenhousegrowing, sustainableagriculture","terrible crop yield, bad net yield"
26,6,9,23,3.8,14,0,"croprotation, greenhousegrowing, naturalpestmanagement","commendable crop yield, excellent net yield"
27,2,11,2,1.0,-9,1,"croprotation, naturalpestmanagement, pestcontrol","terrible crop yield, bad net yield"
28,28,14,26,0.9,12,1,"companionplanting, regenerativeagriculture","terrible crop yield, good net yield"
29,21,8,27,1.3,19,0,"pestcontrol, precisionfarming","commendable crop yield, bad net yield"
30,1,0,10,6.6,10,1,farmtofork,"average crop yield, good net yield"
31,12,16,15,1.2,-1,0,"companionplanting, regenerativeagriculture","commendable crop yield, bad net yield"
32,26,16,15,0.6,-1,0,"companionplanting, regenerativeagriculture","needs crop improvement, bad net yield"
33,22,19,26,1.2,7,0,"greenhousegrowing, sustainableagriculture","commendable crop yield, bad net yield"
34,29,11,10,0.3,-1,0,"croprotation, naturalpestmanagement, pestcontrol","needs crop improvement, bad net yield"
35,12,6,28,2.3,22,0,"covercrops, greenhousegrowing, naturalpestmanagement","commendable crop yield, excellent net yield"
36,25,1,13,0.5,12,0,"fertilization, vermiculture","needs crop improvement, bad net yield"
37,17,2,19,1.1,17,0,"irrigation, vermiculture","commendable crop yield, good net yield"
38,27,16,7,0.3,-9,0,"companionplanting, regenerativeagriculture","needs crop improvement, bad net yield"
39,27,4,17,0.6,13,0,"irrigation, soilmanagement, vermiculture","needs crop improvement, bad net yield"
40,10,16,20,2.0,4,0,"companionplanting, regenerativeagriculture","commendable crop yield, bad net yield"
41,28,16,29,1.0,13,0,"companionplanting, regenerativeagriculture","average crop yield, bad net yield"
42,28,16,2,0.1,-14,1,"companionplanting, regenerativeagriculture","terrible crop yield, bad net yield"
43,16,1,28,1.8,27,1,"fertilization, irrigation, vermiculture","terrible crop yield, excellent net yield"
44,15,1,23,1.5,22,0,"fertilization, organicfarming, pollinatorfriendly","commendable crop yield, excellent net yield"
45,15,4,7,0.5,3,0,"fertilization, pollinatorfriendly, vermiculture","needs crop improvement, bad net yield"
46,19,0,13,0.7,13,0,"mulching, sustainablepractices","needs crop improvement, bad net yield"
47,12,0,15,1.2,15,0,"farmersmarket, farmtofork","commendable crop yield, excellent net yield"
48,23,18,11,0.5,-7,0,"greenhousegrowing, sustainableagriculture","needs crop improvement, bad net yield"
49,20,1,29,1.4,28,0,"fertilization, soilmanagement","commendable crop yield, excellent net yield"
50,25,11,4,0.2,-7,0,"croprotation, naturalpestmanagement, pestcontrol","needs crop improvement, bad net yield"
