farmid,planted_qty,withered_crops,harvested_qty,crop_yield,net-yield,type
1,7,6,23,3.2857142857142856,17,0
2,20,13,1,0.05,-12,0
3,29,10,14,0.4827586206896552,4,0
4,15,12,6,0.4,-6,1
5,11,1,22,2.0,21,1
6,8,6,26,3.25,20,0
7,29,19,11,0.3793103448275862,-8,1
8,21,3,11,0.5238095238095238,8,1
9,7,7,22,3.142857142857143,15,0
10,26,19,18,0.6923076923076923,-1,1
11,19,18,25,1.3157894736842106,7,0
12,23,12,15,0.6521739130434783,3,1
13,11,13,22,2.0,9,0
14,11,9,23,2.090909090909091,14,0
15,24,10,19,0.7916666666666666,9,0
16,21,1,8,0.38095238095238093,7,0
17,4,8,14,3.5,6,1
18,8,16,21,2.625,5,0
19,24,2,15,0.625,13,0
20,3,5,9,3.0,4,0
21,22,4,18,0.8181818181818182,14,1
22,21,4,9,0.42857142857142855,5,0
23,2,14,3,1.5,-11,1
24,24,16,20,0.8333333333333334,4,0
25,12,8,9,0.75,1,1
26,6,2,8,1.3333333333333333,6,1
27,2,19,26,13.0,7,0
28,28,16,27,0.9642857142857143,11,1
29,21,9,3,0.14285714285714285,-6,0
30,1,2,20,20.0,18,0
31,12,17,25,2.0833333333333335,8,0
32,26,17,4,0.15384615384615385,-13,1
33,22,16,28,1.2727272727272727,12,1
34,29,2,6,0.20689655172413793,4,0
35,12,2,2,0.16666666666666666,0,0
36,25,5,2,0.08,-3,1
37,17,12,18,1.0588235294117647,6,0
38,27,14,27,1.0,13,0
39,27,8,2,0.07407407407407407,-6,0
40,10,3,28,2.8,25,1
41,28,13,26,0.9285714285714286,13,1
42,28,4,18,0.6428571428571429,14,1
43,16,1,27,1.6875,26,0
44,15,10,12,0.8,2,0
45,15,8,27,1.8,19,0
46,19,2,16,0.8421052631578947,14,1
47,12,8,22,1.8333333333333333,14,0
48,23,2,24,1.0434782608695652,22,0
49,20,1,25,1.25,24,0
50,25,11,7,0.28,-4,0
51,3,9,12,4.0,3,1
52,5,8,20,4.0,12,1
53,19,14,21,1.105263157894737,7,0
54,7,7,7,1.0,0,1
55,21,4,29,1.380952380952381,25,1
56,9,10,17,1.8888888888888888,7,0
57,7,1,29,4.142857142857143,28,0
58,18,14,19,1.0555555555555556,5,1
59,4,5,22,5.5,17,0
60,25,7,19,0.76,12,1
61,28,4,28,1.0,24,0
62,14,15,28,2.0,13,1
63,18,17,21,1.1666666666666667,4,0
64,26,5,3,0.11538461538461539,-2,1
65,9,4,21,2.3333333333333335,17,1
66,26,15,26,1.0,11,1
67,21,12,20,0.9523809523809523,8,0
68,2,4,2,1.0,-2,1
69,20,12,25,1.25,13,1
70,28,16,20,0.7142857142857143,4,0
71,15,17,22,1.4666666666666666,5,0
72,28,7,24,0.8571428571428571,17,1
73,7,12,11,1.5714285714285714,-1,1
74,12,18,29,2.4166666666666665,11,0
75,29,2,8,0.27586206896551724,6,0
76,8,7,17,2.125,10,0
77,15,1,7,0.4666666666666667,6,0
78,3,7,1,0.3333333333333333,-6,0
79,14,12,11,0.7857142857142857,-1,1
80,17,12,23,1.3529411764705883,11,0
81,4,0,18,4.5,18,1
